날짜,종가,전일비,시가,고가,저가,거래량
2023.09.18,"70,400","(하락)1,600","71,300","71,700","70,400","9,547,838"
2023.09.15,"72,000",(상승)300,"71,700","72,300","71,400","17,823,512"
2023.09.14,"71,700",(상승)800,"71,200","71,800","70,800","21,041,407"
2023.09.13,"70,900",(상승)400,"71,100","71,600","70,300","15,955,797"
2023.09.12,"70,500",(하락)300,"70,800","71,000","70,400","11,688,599"
2023.09.11,"70,800",(상승)500,"70,400","70,800","70,000","11,785,462"
2023.09.08,"70,300",(하락)100,"70,200","70,300","69,600","10,688,118"
2023.09.07,"70,400",(상승)400,"70,000","70,600","69,600","13,741,241"
2023.09.06,"70,000",(하락)700,"70,700","70,800","69,700","11,414,620"
2023.09.05,"70,700",(하락)500,"70,900","71,500","70,200","12,330,239"
